paper_order,project_name,canonical_name,citation_keys,n,c,official_source,local_variant,local_sha256,lineage_status,redistribution,required_wording
1,BBC News Sport,BBCSport,Greene2006BBC;BBCSportDataset,737,5,https://github.com/derekgreene/bbc-datasets,1000-dimensional processed representation with supplied frozen BPs,,SOURCE_FAMILY_VERIFIED; EXACT_PROCESSED_LINEAGE_NOT_CLOSED,research/non-commercial notice; BBC copyright; not included,"BBCSport (737 documents, five topics); do not call the local transform official raw data."
2,Leukemia,Golub-1999 ALL/AML-derived,Golub1999Leukemia,72,2,https://doi.org/10.1126/science.286.5439.531,"72-sample binary, 7070-feature processed contract",,ORIGINAL_STUDY_VERIFIED; EXACT_LOCAL_PROCESSING_NOT_CLOSED,not verified; not included,Golub-1999 ALL/AML-derived task; do not claim byte identity to the original probe release.
3,Caltech101-20,Caltech101-20,Caltech101Dataset2022;FeiFei2006Caltech101,2386,20,https://data.caltech.edu/records/mzrjq-6wc02,2386-sample 20-class subset and supplied BP artifact,,RAW_SOURCE_VERIFIED; EXACT_SUBSET/BP_LINEAGE_NOT_CLOSED,derived subset/BPs not cleared; not included,Caltech101-20 benchmark subset; CaltechDATA does not distribute this exact BP artifact.
4,Leukemia2,Armstrong-2002 ALL/AML/MLL-derived,Armstrong2002Leukemia2,72,3,https://doi.org/10.1038/ng765,72 by 11225 three-class ARFF-derived task,0bb9369fa776b1c78e67cf9fbf78ce9cac0a84b0e84cee8df79907c5f96a90ae,ORIGINAL_STUDY_VERIFIED; EXACT_LOCAL_BYTE_LINEAGE_NOT_CLOSED,license not verified; not included,Armstrong-2002 ALL/AML/MLL-derived task; do not claim original-byte identity.
5,Chameleon,Geom-GCN Chameleon,Pei2020GeomGCN;Rozemberczki2021MUSAE,2277,5,https://github.com/graphdml-uiuc-jlu/geom-gcn/tree/master/new_data/chameleon,pinned Geom-GCN node/edge files,ab170b08e7e3d87f4cfde388b2ec0467dfef95eae9d778655176e6a820e49566,PINNED_PUBLIC_VARIANT_AND_LOCAL_HASH_VERIFIED,data license unresolved; not included,Geom-GCN Chameleon graph variant; cite both Geom-GCN and the underlying network source.
6,Amazon Photo,Amazon Electronics Photo,Shchur2018GNNBenchmark,7650,8,https://github.com/shchur/gnn-benchmark/blob/master/data/npz/amazon_electronics_photo.npz,public benchmark NPZ with project view/BP construction,bdb1feb8e6ff42ee44024b04479145029c563fd42fc31bff80af20887ba0439a,PUBLIC_FILE_AND_LOCAL_HASH_VERIFIED,code MIT does not automatically clear data; not included,Amazon Electronics Photo graph from the GNN benchmark release.
7,ORL,AT&T/ORL Database of Faces,ORLDatabase;Samaria1994ORL,400,40,https://www.cl.cam.ac.uk/research/dtg/attarchive/facedatabase.html,project-derived three-view MATLAB artifact,05f756a6d0053e052b991ea415b4fd0b47eef045a9b79c485a493b79b93dc1b8,OFFICIAL_RAW_SOURCE_VERIFIED; LOCAL_DERIVATION_HASHED,site requests AT&T acknowledgment; terms unresolved; not included,AT&T/ORL Database of Faces; acknowledge AT&T Laboratories Cambridge; views are project-derived.
8,ACM,ACM-3025,Wang2019HAN;HANDatasetRelease,3025,3,https://github.com/Jhy1993/HAN,retrieved ACM.mat mirror with project preprocessing,026829f1ca80cae76c0298b2cd135dc851b9dfcf927a9550f0db543b9ecfbd89,AUTHOR_BENCHMARK_IDENTITY_VERIFIED; UPSTREAM_CONSTRUCTION_PARTIAL,repository/data license unresolved; not included,"ACM-3025; cite HAN; mirror is an artifact location, not the dataset creator."
9,Iris,UCI Iris,Fisher1936Iris;UCIIris,150,3,https://archive.ics.uci.edu/dataset/53/iris,four numeric variables; z-scored after validation,68f0aa81ef3a82101fbae82cbe2a798a38db1de0e5e7dc460a310ca6845dfe67,OFFICIAL_DATASET_AND_LOCAL_PROCESSED_HASH_VERIFIED,CC BY 4.0; raw data omitted by release policy,UCI Iris; cite the UCI DOI and Fisher.
10,Mushroom,UCI Mushroom,UCIMushroom,8124,2,https://archive.ics.uci.edu/dataset/73/mushroom,21 retained categorical predictors; explicit unknown level; z-scored codes,01adb9d8bbf68a467cbdd5af87fc1ee5fbfb5af48931db989cbb7e16d047998e,OFFICIAL_DATASET_AND_LOCAL_PROCESSED_HASH_VERIFIED,CC BY 4.0; raw data omitted by release policy,UCI Mushroom; cite the UCI DOI and disclose deterministic categorical coding.
