canonical_name,project_name,benchmark_group,n,c,source,version_subset,preprocessing,local_alias,sha256,candidate52,revised_core10,identity_status,redistribution_status
BBCSport,BBC News Sport,REVISED_CORE10,737,5,https://github.com/derekgreene/bbc-datasets,1000-dimensional processed representation with supplied frozen BPs,"BBCSport (737 documents, five topics); do not call the local transform official raw data.",bbc_news_sport,,true,true,SOURCE_FAMILY_VERIFIED; EXACT_PROCESSED_LINEAGE_NOT_CLOSED,research/non-commercial notice; BBC copyright; not included
Golub-1999 ALL/AML-derived,Leukemia,REVISED_CORE10,72,2,https://doi.org/10.1126/science.286.5439.531,"72-sample binary, 7070-feature processed contract",Golub-1999 ALL/AML-derived task; do not claim byte identity to the original probe release.,leukemia,,true,true,ORIGINAL_STUDY_VERIFIED; EXACT_LOCAL_PROCESSING_NOT_CLOSED,not verified; not included
Caltech101-20,Caltech101-20,REVISED_CORE10,2386,20,https://data.caltech.edu/records/mzrjq-6wc02,2386-sample 20-class subset and supplied BP artifact,Caltech101-20 benchmark subset; CaltechDATA does not distribute this exact BP artifact.,caltech101_20,,true,true,RAW_SOURCE_VERIFIED; EXACT_SUBSET/BP_LINEAGE_NOT_CLOSED,derived subset/BPs not cleared; not included
Armstrong-2002 ALL/AML/MLL-derived,Leukemia2,REVISED_CORE10,72,3,https://doi.org/10.1038/ng765,72 by 11225 three-class ARFF-derived task,Armstrong-2002 ALL/AML/MLL-derived task; do not claim original-byte identity.,leukemia2,0bb9369fa776b1c78e67cf9fbf78ce9cac0a84b0e84cee8df79907c5f96a90ae,true,true,ORIGINAL_STUDY_VERIFIED; EXACT_LOCAL_BYTE_LINEAGE_NOT_CLOSED,license not verified; not included
Geom-GCN Chameleon,Chameleon,REVISED_CORE10,2277,5,https://github.com/graphdml-uiuc-jlu/geom-gcn/tree/master/new_data/chameleon,pinned Geom-GCN node/edge files,Geom-GCN Chameleon graph variant; cite both Geom-GCN and the underlying network source.,chameleon,ab170b08e7e3d87f4cfde388b2ec0467dfef95eae9d778655176e6a820e49566,true,true,PINNED_PUBLIC_VARIANT_AND_LOCAL_HASH_VERIFIED,data license unresolved; not included
Amazon Electronics Photo,Amazon Photo,REVISED_CORE10,7650,8,https://github.com/shchur/gnn-benchmark/blob/master/data/npz/amazon_electronics_photo.npz,public benchmark NPZ with project view/BP construction,Amazon Electronics Photo graph from the GNN benchmark release.,amazon_photo,bdb1feb8e6ff42ee44024b04479145029c563fd42fc31bff80af20887ba0439a,true,true,PUBLIC_FILE_AND_LOCAL_HASH_VERIFIED,code MIT does not automatically clear data; not included
AT&T/ORL Database of Faces,ORL,REVISED_CORE10,400,40,https://www.cl.cam.ac.uk/research/dtg/attarchive/facedatabase.html,project-derived three-view MATLAB artifact,AT&T/ORL Database of Faces; acknowledge AT&T Laboratories Cambridge; views are project-derived.,orl,05f756a6d0053e052b991ea415b4fd0b47eef045a9b79c485a493b79b93dc1b8,true,true,OFFICIAL_RAW_SOURCE_VERIFIED; LOCAL_DERIVATION_HASHED,site requests AT&T acknowledgment; terms unresolved; not included
ACM-3025,ACM,REVISED_CORE10,3025,3,https://github.com/Jhy1993/HAN,retrieved ACM.mat mirror with project preprocessing,"ACM-3025; cite HAN; mirror is an artifact location, not the dataset creator.",acm,026829f1ca80cae76c0298b2cd135dc851b9dfcf927a9550f0db543b9ecfbd89,true,true,AUTHOR_BENCHMARK_IDENTITY_VERIFIED; UPSTREAM_CONSTRUCTION_PARTIAL,repository/data license unresolved; not included
UCI Iris,Iris,REVISED_CORE10,150,3,https://archive.ics.uci.edu/dataset/53/iris,four numeric variables; z-scored after validation,UCI Iris; cite the UCI DOI and Fisher.,iris,68f0aa81ef3a82101fbae82cbe2a798a38db1de0e5e7dc460a310ca6845dfe67,false,true,OFFICIAL_DATASET_AND_LOCAL_PROCESSED_HASH_VERIFIED,CC BY 4.0; exact frozen BP pools redistributed with attribution; raw feature data omitted
UCI Mushroom,Mushroom,REVISED_CORE10,8124,2,https://archive.ics.uci.edu/dataset/73/mushroom,21 retained categorical predictors; explicit unknown level; z-scored codes,UCI Mushroom; cite the UCI DOI and disclose deterministic categorical coding.,mushroom,01adb9d8bbf68a467cbdd5af87fc1ee5fbfb5af48931db989cbb7e16d047998e,false,true,OFFICIAL_DATASET_AND_LOCAL_PROCESSED_HASH_VERIFIED,CC BY 4.0; exact frozen BP pools redistributed with attribution; raw feature data omitted
